AromaticRings,MinPartialCharge,BalabanJ,NumRings,nHBDon,nHBAcc,nRot,IDNUMBER,Canonical_SMILES,Cluster
2,-0.4226624610284965,1.5412621594498213,3,1.0,5.0,5.0,Z2623741167,C=CCCc1ccccc1NC(=O)N1C[C@@H](C)O[C@@H](c2nnc(C)o2)C1,0
2,-0.4255966900328493,1.4835666249564423,3,1.0,5.0,5.0,Z2761863109,Cc1nnc(C[C@@H]2CC[C@H](NS(=O)(=O)c3cc(F)ccc3F)C2)o1,0
2,-0.4393229485180771,1.50666062857557,3,1.0,5.0,5.0,Z2054365594,CO[C@H]1C[C@@H](C(N)=O)N(Cc2ncc(-c3cccc(F)c3)o2)C1,0
2,-0.4057992426418036,1.503504747072651,3,1.0,5.0,5.0,Z29609646,O=C(Nc1ccc(F)c(S(=O)(=O)N2CCOCC2)c1)c1ccc(OC(F)(F)F)cc1,0
2,-0.4425627491313467,1.4961788895688428,3,1.0,5.0,5.0,Z1265943435,CC(CN1CCOCC1)NC(=O)c1ncoc1-c1ccccc1Cl,0
2,-0.3942329839273206,1.5412046278074614,3,1.0,5.0,5.0,Z2055493135,CO[C@@H]1C[C@@H](CO)N(C(=O)c2cccc(Cn3ccnc3)c2)C1,0
2,-0.4443357753630859,1.4626615202355295,3,1.0,5.0,5.0,Z1140890924,Cc1cc(C)c(NC(=O)C(C)N2CCCN(Cc3nc(C)c(C)o3)CC2)c(Cl)c1,0
2,-0.4401171515034764,1.439590999472285,3,1.0,5.0,5.0,Z1771656869,COC[C@@H](O)CN1CCC(c2nc3cccc(C)c3o2)CC1,0
2,-0.3963757065676236,1.4771678683675096,3,1.0,5.0,5.0,Z1262401217,OCCCCN1CCN(c2ncnc3cc(Cl)ccc23)CC1,0
2,-0.391720035780196,1.583416266656443,3,1.0,5.0,5.0,Z1619863607,CC(C)Cn1ncnc1CN1CC(O)CC1c1ccc(F)cc1,0
2,-0.4443357753630859,1.435141587957074,3,1.0,5.0,5.0,Z1140890942,Cc1cc(Cl)ccc1NC(=O)C(C)N1CCCN(Cc2nc(C)c(C)o2)CC1,0
2,-0.388296370817833,1.5645877889532,3,1.0,5.0,5.0,Z2395240716,COC(C)(C(=O)N1CC(c2cc(CO)on2)C1)c1ccccc1F,0
2,-0.4507582873257469,1.4548561416169958,3,1.0,5.0,5.0,Z1675902524,Cc1nc(C(=O)OCC(=O)NC2CCCC2)c(-c2ccccc2)o1,0
2,-0.4549299820424082,1.4832186386684243,3,1.0,5.0,5.0,Z20059005,CC1(C)C(=O)Nc2ccccc2N1C(=O)COC(=O)CSc1ccc(F)cc1,0
2,-0.4556504309418704,1.5953362199361265,3,1.0,5.0,5.0,Z2060691811,CCc1oc(C(=O)N2C[C@@H](CO)[C@H](c3cnn(C(C)C)c3)C2)cc1C,0
3,-0.35420853939087,1.2915870639774574,3,2.0,4.0,15.0,AP_653_41545097,CCCCCCCCCCCCNc1nccc(-c2cccc(NC(=O)c3cccc(C(F)(F)F)c3)c2)n1,1
2,-0.355857067966835,1.544874318155575,2,2.0,6.0,17.0,AG_690_11215970,CCCCCCCCCCCCCCCCn1c(NCC)nc2c1c(=O)[nH]c(=O)n2C,1
2,-0.3130847576620023,1.6972975676846558,2,1.0,6.0,15.0,AG_690_11241415,CCCCCCCCCCCCSc1nc2c(c(=O)[nH]c(=O)n2C)n1CCC(C)C,1
2,-0.4936010710889452,1.4713313861902624,2,1.0,4.0,15.0,AG_205_07767027,CCCCCCCCOc1ccc(/C=N/NC(=O)COc2ccc(C(C)(C)CC(C)(C)C)cc2)cc1,1
3,-0.3130950731998958,1.3036860325809747,3,1.0,6.0,20.0,AG_690_11572070,CCCCCCCCCCCCCCCCn1c(SCCCc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C,1
2,-0.3655322401382739,1.4989212024686538,2,4.0,4.0,12.0,AN_329_40366485,NC(=O)c1ccccc1NC(=O)CCCCCCCC(=O)Nc1ccccc1C(N)=O,1
4,-0.3260968796241719,1.083296843895596,4,4.0,6.0,12.0,AN_329_40869135,Cc1cc(C)c(NS(=O)(=O)c2ccc(NC(=O)CCCC(=O)Nc3ccc(S(=O)(=O)Nc4c(C)cc(C)cc4C)cc3)cc2)c(C)c1,1
4,-0.326096879624172,1.064831862472561,4,4.0,6.0,12.0,AN_329_40922907,Cc1cc(C)cc(NS(=O)(=O)c2ccc(NC(=O)CCCC(=O)Nc3ccc(S(=O)(=O)Nc4cc(C)cc(C)c4)cc3)cc2)c1,1
4,-0.3260731031686389,1.0608172331743866,4,4.0,4.0,11.0,AN_329_40250946,O=C(CCCCC(=O)Nc1cccc(C(=O)Nc2cccc(Cl)c2)c1)Nc1cccc(C(=O)Nc2cccc(Cl)c2)c1,1
2,-0.4936010650819503,1.4493517794678137,2,0.0,2.0,16.0,AG_690_33404030,CCCCCCCCOc1ccc(-c2ccc(CCCCCCCC)cn2)cc1,1
2,-0.4889170674815704,1.654344166249878,3,4.0,7.0,15.0,AG_690_09789013,CC(C)CC(NC(=O)C(NC(=O)C(Cc1ccc(OCc2ccccc2)cc1)NC(=O)OC(C)(C)C)C(C)C)C(=O)N1CCCC1C(N)=O,1
2,-0.4936010805035198,1.5903883448417129,2,0.0,7.0,15.0,AA_516_12432259,CCCCCCCCOc1ccc(-c2ccc(C(=O)OC(C)C(=O)OC(C)C(=O)OCC)cc2)cc1,1
2,-0.4936010710889452,0.9357396397175692,6,1.0,3.0,16.0,AH_034_08819054,CCCCCCCCCCCCOc1ccc(/C=N/NC(=O)C23CC4CC(C2)CC(c2ccc(C)cc2)(C4)C3)cc1,1
2,-0.4101983011499346,1.4632629777731965,2,5.0,7.0,12.0,AO_365_41546562,O=C(NCCCNCCCNC(=O)/C(=N/O)c1ccccc1)/C(=N/O)c1ccccc1,1
