AromaticRings,MinPartialCharge,BalabanJ,NumRings,nHBDon,nHBAcc,nRot,IDNUMBER,Canonical_SMILES,Cluster
2,-0.4057973422177845,1.5582343216932255,3,1.0,4.0,4.0,L302_0183,CC(=O)N1CC(C)(C)c2cc(S(=O)(=O)Nc3ccc(OC(F)(F)F)cc3)ccc21,0
2,-0.3911887722906325,1.5508324095820838,3,1.0,4.0,4.0,Z1571758276,Cc1nn(C)c(C)c1CCC(=O)N1CC(O)CC1c1ccc(F)cc1,0
2,-0.3917200455762237,1.5979835620368958,3,1.0,4.0,4.0,Z1498717664,CC(C)n1ccc(CN2CC(O)CC2c2cccc(C(F)(F)F)c2)n1,0
2,-0.391753901563291,1.601411420828294,3,1.0,4.0,4.0,Z2418215788,CN(C(=O)c1cccc(S(=O)(=O)N2CCCC(O)C2)c1)c1ccccc1,0
2,-0.4236111610109853,1.5740560854943904,3,1.0,4.0,4.0,Z1994307430,CC(C)c1nnc(CNC2CC(C)(C)CCc3ccccc32)o1,0
2,-0.3850291739930897,1.541078231148589,3,1.0,4.0,4.0,Y042_5396,CCCc1nc(C)sc1C(=O)N1CCC(O)(c2ccc(Cl)cc2)CC1,0
2,-0.3838294438050334,1.5532491886712496,3,1.0,4.0,4.0,Z1748379869,CCn1nc(CN2CCC(O)(C(F)F)CC2)c2ccccc21,0
2,-0.3840519967029168,1.5743681476082525,3,1.0,4.0,4.0,Z2283010910,COCC1(C)CCN(C(=O)c2ccc3c(c2)[nH]c(=O)n3CC(F)(F)F)C1,0
2,-0.3807282365351111,1.5688514431361809,3,1.0,4.0,4.0,Z1755906064,Cc1cc(C)cc(C(C)NC(=O)c2cn(C)nc2C2CCOC2)c1,0
2,-0.3813807420258717,1.52796581225892,3,1.0,4.0,4.0,Z1198995879,CCOCC1CCCN(C(=O)c2ccc3c(c2)[nH]c(=O)n3C)C1,0
2,-0.3929975929664744,1.6523528097937092,3,1.0,4.0,4.0,Z2164423085,CC(C)n1c(CN2CCCC(F)(CO)C2)nc2ccccc21,0
2,-0.3824776979401212,1.6097292544570854,3,1.0,4.0,4.0,S956_0158,COCC1CN(c2ccc(C#N)c(C(F)(F)F)c2)CCN1C(=O)Nc1ccccc1F,0
2,-0.3800492762837179,1.591354370852463,3,1.0,4.0,4.0,Z2696433563,CO[C@@H]1CC(c2ncc[nH]2)N(Cc2cncc(C)c2)C1,0
2,-0.3787546951165034,1.5648922600814292,3,1.0,4.0,4.0,Z1589567530,Cn1nccc1CNc1ccc(Cl)cc1C(=O)N1CCCC1,0
