AromaticRings,MinPartialCharge,BalabanJ,NumRings,nHBDon,nHBAcc,nRot,IDNUMBER,Canonical_SMILES,Cluster
2,-0.4226624610284965,1.5412621594498213,3,1.0,5.0,5.0,Z2623741167,C=CCCc1ccccc1NC(=O)N1C[C@@H](C)O[C@@H](c2nnc(C)o2)C1,0
2,-0.4255966900328493,1.4835666249564423,3,1.0,5.0,5.0,Z2761863109,Cc1nnc(C[C@@H]2CC[C@H](NS(=O)(=O)c3cc(F)ccc3F)C2)o1,0
2,-0.4393229485180771,1.50666062857557,3,1.0,5.0,5.0,Z2054365594,CO[C@H]1C[C@@H](C(N)=O)N(Cc2ncc(-c3cccc(F)c3)o2)C1,0
2,-0.4057992426418036,1.503504747072651,3,1.0,5.0,5.0,Z29609646,O=C(Nc1ccc(F)c(S(=O)(=O)N2CCOCC2)c1)c1ccc(OC(F)(F)F)cc1,0
2,-0.4425627491313467,1.4961788895688428,3,1.0,5.0,5.0,Z1265943435,CC(CN1CCOCC1)NC(=O)c1ncoc1-c1ccccc1Cl,0
2,-0.3942329839273206,1.5412046278074614,3,1.0,5.0,5.0,Z2055493135,CO[C@@H]1C[C@@H](CO)N(C(=O)c2cccc(Cn3ccnc3)c2)C1,0
2,-0.4443357753630859,1.4626615202355295,3,1.0,5.0,5.0,Z1140890924,Cc1cc(C)c(NC(=O)C(C)N2CCCN(Cc3nc(C)c(C)o3)CC2)c(Cl)c1,0
2,-0.4401171515034764,1.439590999472285,3,1.0,5.0,5.0,Z1771656869,COC[C@@H](O)CN1CCC(c2nc3cccc(C)c3o2)CC1,0
2,-0.3963757065676236,1.4771678683675096,3,1.0,5.0,5.0,Z1262401217,OCCCCN1CCN(c2ncnc3cc(Cl)ccc23)CC1,0
2,-0.391720035780196,1.583416266656443,3,1.0,5.0,5.0,Z1619863607,CC(C)Cn1ncnc1CN1CC(O)CC1c1ccc(F)cc1,0
2,-0.4443357753630859,1.435141587957074,3,1.0,5.0,5.0,Z1140890942,Cc1cc(Cl)ccc1NC(=O)C(C)N1CCCN(Cc2nc(C)c(C)o2)CC1,0
2,-0.388296370817833,1.5645877889532,3,1.0,5.0,5.0,Z2395240716,COC(C)(C(=O)N1CC(c2cc(CO)on2)C1)c1ccccc1F,0
2,-0.4507582873257469,1.4548561416169958,3,1.0,5.0,5.0,Z1675902524,Cc1nc(C(=O)OCC(=O)NC2CCCC2)c(-c2ccccc2)o1,0
2,-0.4549299820424082,1.4832186386684243,3,1.0,5.0,5.0,Z20059005,CC1(C)C(=O)Nc2ccccc2N1C(=O)COC(=O)CSc1ccc(F)cc1,0
2,-0.4556504309418704,1.5953362199361265,3,1.0,5.0,5.0,Z2060691811,CCc1oc(C(=O)N2C[C@@H](CO)[C@H](c3cnn(C(C)C)c3)C2)cc1C,0
0,-0.4591248792272303,2.219435942134799,3,4.0,14.0,8.0,AO_125_13758001,CCC1OC(=O)CC(C)(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,1
0,-0.3477093514940542,4.517765123980503,0,2.0,4.0,5.0,Z415078048,CNC(=O)NC(=O)CN(CC(=O)N(C)C)CC(F)(F)F,2
0,-0.3792118526726137,4.855802946857109,0,3.0,3.0,6.0,Z2271502705,CC(C)C[C@H](NC(=O)C(C)(C)C)C(=O)NCC(C)(O)C(F)(F)F,2
0,-0.0653823832227926,2.8766966445353965,0,0.0,0.0,16.0,AN_329_40543671,CCCCCCCCCCCCCCCCCCC,3
4,-0.7439755637346984,1.457794867841603,4,2.0,16.0,8.0,AG_690_12763055,Nc1c(/N=N/c2ccc([N+](=O)[O-])cc2)c(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])c(/N=N/c3ccc([N+](=O)[O-])cc3)c(O)c12,4
1,-0.3935668703783392,1.609401919592671,3,10.0,12.0,6.0,AG_205_07944032,Cc1ccc(NC2OC(CO)C(O)C(O)C2O)cc1NC1OC(CO)C(O)C(O)C1O,5
6,-0.2896899759429471,0.6833168351786909,11,0.0,6.0,6.0,AG_690_11961193,O=S(=O)(c1ccc2c(c1)Cc1cc(S(=O)(=O)N3CCN(C4c5ccccc5-c5ccccc54)CC3)ccc1-2)N1CCN(C2c3ccccc3-c3ccccc32)CC1,6
5,-0.3406289165132589,1.0542556164638737,5,4.0,18.0,26.0,AG_205_33649034,CCCCN(CCCC)c1nc(N/N=C/c2ccc(/C=N/Nc3nc(Nc4ccc([N+](=O)[O-])cc4)nc(N(CCCC)CCCC)n3)cc2)nc(Nc2ccc([N+](=O)[O-])cc2)n1,7
