AromaticRings,MinPartialCharge,BalabanJ,NumRings,nHBDon,nHBAcc,nRot,IDNUMBER,Canonical_SMILES,Cluster
1,-0.3542678164797028,1.89935724086468,2,1.0,3.0,4.0,Z908582570,CCCc1sc(C(=O)N2CCNC(=O)CC2)cc1CC,0
1,-0.3456215409052033,1.875570677826626,2,1.0,3.0,4.0,Z808336740,N#Cc1ccc(F)c(CN2CCCC2C(=O)NCC(F)(F)F)c1,0
1,-0.3492242983490185,1.855581826599114,2,1.0,3.0,4.0,Z88299953,O=C(NC1CCCC1)c1cccnc1SC(F)F,0
1,-0.3549606539545957,1.831432897446756,2,1.0,3.0,4.0,Z993617114,Cc1ccccc1C(C)(C)CNC(=O)C1CCS(=O)(=O)C1,0
1,-0.3414288974105925,1.9465899862414189,2,1.0,3.0,4.0,Z117068546,O=C(CNS(=O)(=O)c1ccccc1C(F)(F)F)N1CCC1,0
1,-0.3498656146415975,1.9682329615463665,2,1.0,3.0,4.0,Y300_1332,CC(C)NC(=O)c1cccc(S(=O)(=O)N2CCCCCC2)c1,0
1,-0.3369516751746281,1.890029467549866,2,1.0,3.0,4.0,Z1277640355,Cc1cccc(C2CCCN2C(=O)NCCS(C)(=O)=O)c1C,0
1,-0.3380800629236345,1.871350791833465,2,1.0,3.0,4.0,Z1663515941,CC(CS(C)=O)N(C)C(=O)c1ccc2c(c1)CCC(=O)N2,0
1,-0.3495986580772041,1.8226477546126407,2,1.0,3.0,4.0,Y300_0535,CCC(C)NC(=O)c1ccc(N2CCCCS2(=O)=O)cc1,0
1,-0.3345273915802954,1.8947055816845395,2,1.0,3.0,4.0,Z2016798566,CCC1CN(C(=O)c2cccc(=O)[nH]2)CCN1CC(F)F,0
1,-0.3346657121795581,1.913160706807552,2,1.0,3.0,4.0,Z1897099243,CC(C)C(Cc1ccc(F)cc1)NC(=O)N1CCC(C)(C)S(=O)(=O)CC1,0
1,-0.3668433522727106,1.8304268474639007,2,1.0,3.0,4.0,Z1167444482,CCNC(=O)N1CCN(C(=O)C(OC)c2ccccc2)CC1,0
1,-0.3563717795375845,1.810367375466068,2,1.0,3.0,4.0,Z1143333221,CCNC(=O)CCC(=O)N1CCSc2ccccc21,0
1,-0.3754620705797021,1.861441708721549,2,1.0,3.0,4.0,Z1343200728,CN(C)C(=O)c1ccc(Cl)cc1NCC(=O)N1CCC1,0
1,-0.3327573085458742,1.9498229150286,2,1.0,3.0,4.0,Z2075994432,CC(C(=O)N1CCCC1c1ccn[nH]1)N(C)CC(F)(F)F,0
3,-0.3504112155900682,1.3313341942279735,4,1.0,5.0,4.0,Z2074392354,CN1CC[C@@H](CNC(=O)c2cc3ccccc3c(=O)n2C)[C@@H]1c1cccnc1,1
3,-0.3551721957667122,1.346928877890934,4,1.0,5.0,4.0,G008_4375,Cc1cc(-c2ccc(S(=O)(=O)Nc3cccc4c3CCCC4)s2)on1,1
3,-0.3452125438919376,1.3125145575192885,4,1.0,5.0,4.0,Z1745171425,CC(C)c1ccc2c(c1)C(NC(=O)c1ccnc(-n3cncn3)c1)CC2,1
3,-0.3511174649286665,1.361172931980836,4,1.0,5.0,4.0,Z998697650,CC1(C(=O)NCc2cccnc2-n2cncn2)CCCc2ccccc21,1
3,-0.3531487980601761,1.3671419131814275,4,1.0,5.0,4.0,Z2162712093,Cc1ccccc1-n1cc(CN2CCNC(=O)C2c2ccccc2Cl)nn1,1
3,-0.3421715166908303,1.3554188823628697,4,1.0,5.0,4.0,Z216951334,Cc1cc(C)n2nc(C(=O)NC(c3ccccc3)C3CC3)nc2n1,1
3,-0.3456789891224399,1.3740043577246253,4,1.0,5.0,4.0,G863_0002,O=C(NCc1c(-c2ccccc2)nc2n1CCS2)c1cccs1,1
3,-0.3533358300425722,1.285936719998031,4,1.0,5.0,4.0,F975_0291,CCc1ccccc1NC(=O)N1CCCN(c2ccc(=O)n(-c3ccc(C)c(C)c3)n2)CC1,1
3,-0.3407964129806025,1.3027243383250986,4,1.0,5.0,4.0,Z1139472030,Fc1cccc2[nH]c(CN3CCCC3Cn3cncn3)nc12,1
3,-0.344349739730263,1.2894608709676296,4,1.0,5.0,4.0,Z2012795532,Cc1nc(Cc2ccccc2)sc1C(=O)NC1CCCc2nn(C)cc21,1
3,-0.3393080370076655,1.3042152953150132,4,1.0,5.0,4.0,F549_0837,Cc1ccc(C)c(NC(=O)C2CC(=O)N(c3cccc(-c4noc(C)n4)c3)C2)c1,1
3,-0.3528910649711316,1.2752964673040008,4,1.0,5.0,4.0,D430_0254,Cc1ccc(Nc2cc(N3CCN(C(=O)c4ccccc4C(F)(F)F)CC3)nc(C)n2)cc1,1
3,-0.3531494556629921,1.3881420470100558,4,1.0,5.0,4.0,Z1698441094,Cc1cc(F)ccc1C1C(=O)NCCN1Cc1cnc2c(cnn2C(C)C)c1,1
3,-0.3490892097712248,1.3890089409952515,4,1.0,5.0,4.0,Z2513106433,Cc1ccc(C(=O)N2CC[C@H](c3ccc(F)cc3)[C@@H](Nc3ncccn3)C2)cn1,1
3,-0.355464966792426,1.3878490263608854,4,1.0,5.0,4.0,L995_0375,O=C(c1noc2ccc(S(=O)(=O)Nc3ccccc3F)cc12)N1CCCCC1,1
2,-0.3748714203336481,1.4323510797119996,3,2.0,4.0,4.0,Z435184590,COCC(=O)N1CCC(NC(=O)c2n[nH]c3ccccc23)CC1,2
2,-0.3714248397697855,1.4443376721410166,3,2.0,4.0,4.0,Z1890071819,CC(=O)Nc1ccc(NC(=O)c2cc(N3CCCC3)ccn2)cc1C,2
2,-0.3677592298072548,1.4382734157235832,3,2.0,4.0,4.0,C607_1015,Cc1ccc(C)c(N2CCN(C(=N)NS(=O)(=O)Cc3ccccc3)CC2)c1,2
2,-0.3694757532545307,1.4068461967600754,3,2.0,4.0,4.0,Z1213265763,Cc1csc(C(C)NC(=O)NC2CCCN(c3ccccc3)C2)n1,2
2,-0.3693783071592709,1.4042976318521585,3,2.0,4.0,4.0,Z790158016,Cc1sc(CNC(=O)N2CCC(C(N)=O)C2)nc1-c1ccccc1,2
2,-0.3731532577403754,1.3943006637068518,3,2.0,4.0,4.0,Z1755570287,Cn1cc(NC(=O)NC[C@H]2CCO[C@@H]2c2ccccc2)cn1,2
2,-0.3655077809750849,1.4591038148309667,3,2.0,4.0,4.0,Z1183525611,NC(=O)c1ccc(NC(=O)c2ccnc(C3CC3)n2)cc1F,2
2,-0.3814299477210131,1.3919684343278595,3,2.0,4.0,4.0,Z2951422749,CC(C)(CNC(=O)Nc1ccn2ccnc2c1)C1CCOCC1,2
2,-0.3667771214875502,1.3808746399828382,3,2.0,4.0,4.0,AP_970_43336959,CCC(=O)N1CCN(c2ccc(NC(=S)NC(=O)c3ccccc3)cc2Cl)CC1,2
2,-0.390275255539955,1.435600567909939,3,2.0,4.0,4.0,Z2186619518,O=C(CCc1ncccn1)N[C@H]1c2ccccc2C[C@H]1O,2
2,-0.367980044646547,1.4906633428508418,3,2.0,4.0,4.0,Z2765652904,Cc1ccc(F)c(CC(=O)N[C@H]2CCO[C@H]2c2nc(C)n[nH]2)c1,2
2,-0.3733677019423755,1.3659966141308426,3,2.0,4.0,4.0,Z1693417833,Cc1nc(CNC(=O)NC2CCOC(c3ccccc3)C2)sc1C,2
2,-0.3912831969086118,1.4341705099594615,3,2.0,4.0,4.0,Z1462675728,Cc1ccc(CNc2cccc(C(=O)N3CCCC(O)C3)c2)s1,2
2,-0.3880534483729148,1.3922938408238736,3,2.0,4.0,4.0,Z1229976775,O=C(NCC1(O)CCCCCC1)c1ccc(-n2cccn2)cc1,2
2,-0.3693392574277246,1.4968496944103569,3,2.0,4.0,4.0,Z301295338,NC(=O)Cc1csc(NC(=O)C2CCCc3ccccc32)n1,2
2,-0.4852506739230531,1.431939486141854,4,1.0,5.0,4.0,Z52320797,CCCNC(=O)C1CN(C(=O)C2COc3ccccc3O2)c2ccccc2O1,3
2,-0.4918925508117607,1.4223071637444633,4,1.0,5.0,4.0,Z2996683797,O=C(O)C1c2ccccc2OCCN1Cc1cc(C2CC2)no1,3
2,-0.4928592126809817,1.4641325557726586,4,1.0,5.0,4.0,Z4626101442,COc1cc2c(cc1OC)C(C1CC1)N(C(=O)Nc1ccon1)CC2,3
2,-0.4967429591301264,1.4278044776720855,4,1.0,5.0,4.0,SD14_0096,COc1ccc2c(c1)c(CN1CC[C@@H]3NC(=O)CN(C)C(=O)[C@@H]3C1)cn2C(C)C,3
2,-0.4959243377380087,1.4117331219450906,4,1.0,5.0,4.0,S953_5028,COc1ccccc1C(=O)N1CCC2(CC1)CC(C(N)=O)N(c1ccc(C#N)c(C(F)(F)F)c1)C2,3
2,-0.4928421306083633,1.470078604618785,4,1.0,5.0,4.0,SC70_0570,COc1cccc(C(=O)N2CC(c3n[nH]c(C)n3)C3(CCC3)C2)c1OC,3
2,-0.4967567603862004,1.4527516883077018,4,1.0,5.0,4.0,P563_1286,COc1cccc(CNC(=O)C2=C3CCCN3c3ccc(Cl)cc3S2(=O)=O)c1,3
2,-0.4967681937740622,1.4581106356972815,4,1.0,5.0,4.0,8017_4861,COc1ccc(C2NC(=O)N(C)C3=C2C(=O)N(c2ccc([N+](=O)[O-])cc2)C3)cc1,3
