AromaticRings,MinPartialCharge,BalabanJ,NumRings,nHBDon,nHBAcc,nRot,IDNUMBER,Canonical_SMILES,Cluster
4,-0.3884324179434943,1.3357523891320682,4,1.0,5.0,4.0,Z107009330,OCc1nc2ccccc2n1Cc1cc(-c2ccccc2)on1,0
4,-0.3782819714780417,1.307732686836963,5,1.0,5.0,4.0,AQ_390_43364033,CC(=O)Nc1ccc(OS(=O)(=O)c2ccc3c4c(cccc24)C(=O)N3C)c2ccccc12,0
4,-0.3611570018448204,1.2307927128552327,4,1.0,6.0,4.0,Z1684124281,Cc1csc(=O)n1CCc1nc(-c2ccc3cc[nH]c3c2)no1,0
4,-0.3704248679059408,1.2025422962605157,5,1.0,6.0,4.0,AJ_292_41083291,Cc1nc(NCCc2ccccc2)c2sc3nc4c(cc3c2n1)COC(C)(C)C4,0
4,-0.3585172829470036,1.2992391617672183,4,1.0,6.0,4.0,Z2699992072,CN(CCc1nc2ccccc2[nH]1)c1ncnc2c1cnn2C(C)(C)C,0
4,-0.3602099664510077,1.3205954265381787,4,1.0,6.0,4.0,Z367487926,Cc1cc(C)n(-c2ccc(NC(=O)c3c(-c4c(F)cccc4Cl)noc3C)cn2)n1,0
4,-0.3602117172853574,1.3272092997326823,4,1.0,6.0,4.0,Z56774341,Cc1onc(-c2ccccc2Cl)c1C(=O)Nc1nnc(-c2ccccc2)s1,0
4,-0.380077142420036,1.1983876495577528,4,1.0,5.0,4.0,Z4461652104,Cc1nc(C)c(CNc2ccc(-c3cn4cccc(C)c4n3)cc2)s1,0
4,-0.3651488744341065,1.3584336117027025,4,1.0,6.0,4.0,C660_0707,Clc1ccc(-c2noc3ncnc(NCc4cccnc4)c23)cc1,0
4,-0.3602126084845073,1.334876121344652,4,1.0,6.0,4.0,Z146328048,Cc1onc(-c2ccccc2)c1C(=O)Nc1cnc2c(cnn2C(C)C)c1,0
4,-0.3809661943590038,1.162086662030626,4,1.0,6.0,4.0,AN_465_42834516,Cc1nnc2sc(-c3ccc(NCc4ccc(F)cc4)cc3)nn12,0
4,-0.3652255144888743,1.3210624768577557,4,1.0,5.0,4.0,K402_0863,Clc1ccccc1CNc1ncnc2c1cnn2-c1ccccc1,0
4,-0.3651707665920092,1.3210624768577557,4,1.0,5.0,4.0,Z220408512,Fc1ccccc1CNc1ncnc2c1cnn2-c1ccccc1,0
4,-0.355085328931391,1.280272977309009,4,1.0,6.0,4.0,G751_2095,Cn1c(SCc2cc(=O)c3cccc(F)c3[nH]2)nnc1-c1cccs1,0
3,-0.3821743631973012,1.2736526949279663,4,1.0,6.0,4.0,Z815769988,CCc1cc(N2CCC(Nc3ccc(F)cc3)CC2)n2ncnc2n1,0
1,-0.4770495829101291,1.9052355490492183,2,1.0,4.0,5.0,Z1603756808,CCOC1CC(N(C)C(=O)c2ccc(C(=O)O)s2)C1(C)C,1
1,-0.4687732093799353,1.9076636109848573,2,1.0,4.0,5.0,Z1210217695,COC(=O)C1CC1C(=O)NC(c1ncccc1C)C(C)C,1
1,-0.4689296791528278,1.9294275360194648,2,1.0,4.0,5.0,Z804588834,COC(=O)CC(NC(=O)C1CCOCC1)c1cccc(Br)c1,1
