AromaticRings,MinPartialCharge,BalabanJ,NumRings,nHBDon,nHBAcc,nRot,IDNUMBER,Canonical_SMILES,Cluster
3,-0.3504112155900682,1.3313341942279735,4,1.0,5.0,4.0,Z2074392354,CN1CC[C@@H](CNC(=O)c2cc3ccccc3c(=O)n2C)[C@@H]1c1cccnc1,0
3,-0.3452125438919376,1.3125145575192885,4,1.0,5.0,4.0,Z1745171425,CC(C)c1ccc2c(c1)C(NC(=O)c1ccnc(-n3cncn3)c1)CC2,0
3,-0.3421715166908303,1.3554188823628697,4,1.0,5.0,4.0,Z216951334,Cc1cc(C)n2nc(C(=O)NC(c3ccccc3)C3CC3)nc2n1,0
3,-0.3551721957667122,1.346928877890934,4,1.0,5.0,4.0,G008_4375,Cc1cc(-c2ccc(S(=O)(=O)Nc3cccc4c3CCCC4)s2)on1,0
3,-0.3511174649286665,1.361172931980836,4,1.0,5.0,4.0,Z998697650,CC1(C(=O)NCc2cccnc2-n2cncn2)CCCc2ccccc21,0
3,-0.3407964129806025,1.3027243383250986,4,1.0,5.0,4.0,Z1139472030,Fc1cccc2[nH]c(CN3CCCC3Cn3cncn3)nc12,0
3,-0.344349739730263,1.2894608709676296,4,1.0,5.0,4.0,Z2012795532,Cc1nc(Cc2ccccc2)sc1C(=O)NC1CCCc2nn(C)cc21,0
3,-0.3393080370076655,1.3042152953150132,4,1.0,5.0,4.0,F549_0837,Cc1ccc(C)c(NC(=O)C2CC(=O)N(c3cccc(-c4noc(C)n4)c3)C2)c1,0
3,-0.3531487980601761,1.3671419131814275,4,1.0,5.0,4.0,Z2162712093,Cc1ccccc1-n1cc(CN2CCNC(=O)C2c2ccccc2Cl)nn1,0
3,-0.3533358300425722,1.285936719998031,4,1.0,5.0,4.0,F975_0291,CCc1ccccc1NC(=O)N1CCCN(c2ccc(=O)n(-c3ccc(C)c(C)c3)n2)CC1,0
3,-0.3456789891224399,1.3740043577246253,4,1.0,5.0,4.0,G863_0002,O=C(NCc1c(-c2ccccc2)nc2n1CCS2)c1cccs1,0
3,-0.3528910649711316,1.2752964673040008,4,1.0,5.0,4.0,D430_0254,Cc1ccc(Nc2cc(N3CCN(C(=O)c4ccccc4C(F)(F)F)CC3)nc(C)n2)cc1,0
3,-0.3379059033220176,1.2840484125667735,4,1.0,5.0,4.0,S383_0866,O=C(c1cccs1)N1CCC(c2n[nH]c(=O)n2Cc2ccc(F)cc2)CC1,0
3,-0.3490892097712248,1.3890089409952515,4,1.0,5.0,4.0,Z2513106433,Cc1ccc(C(=O)N2CC[C@H](c3ccc(F)cc3)[C@@H](Nc3ncccn3)C2)cn1,0
3,-0.3531494556629921,1.3881420470100558,4,1.0,5.0,4.0,Z1698441094,Cc1cc(F)ccc1C1C(=O)NCCN1Cc1cnc2c(cnn2C(C)C)c1,0
3,-0.4623055767424933,1.3091253061266503,4,1.0,7.0,6.0,6228_1542,CCOC(=O)c1c(NC(=O)c2ccc(Cn3cc(Br)cn3)o2)sc2c1CCCC2,1
3,-0.4591971067538813,1.2857297020756004,4,1.0,7.0,6.0,L991_0163,CC(=O)Nc1c(C)noc1/C=C\c1ccc(C)c(S(=O)(=O)N2CCN(C(=O)c3ccco3)CC2)c1,1
3,-0.4592896964588351,1.3203299727783493,4,1.0,7.0,6.0,AK_968_12686237,CC(C)OC(=O)c1c(NC(=O)c2ccc(Cn3cc(Cl)cn3)o2)sc2c1CCCC2,1
3,-0.4535954749121018,1.2866771820561655,4,1.0,7.0,6.0,8011_9400,O=C(NCc1ccc2c(c1)OCO2)c1cc([N+](=O)[O-])nn1Cc1ccccc1,1
3,-0.467476489335404,1.2902636200838862,4,1.0,7.0,7.0,L553_1925,CCc1noc2nc(CCC(=O)NCc3ccco3)nc(N3CCCCC3)c12,1
3,-0.4623128318878635,1.3033842205083055,4,1.0,7.0,7.0,D306_0534,CCOC(=O)c1cc(-c2ccccc2)sc1NC(=O)CSc1nc(C)nc2c1CCC2,1
3,-0.4872737965430492,1.2563523416968831,4,1.0,7.0,6.0,Z223101774,Cc1nc(C2(NC(=O)c3ccc(OCc4cscn4)cc3)CCCCC2)no1,1
3,-0.4652136361122935,1.2365409792811657,4,1.0,7.0,7.0,G790_0108,CCN1CCN(Cc2ccc(Nc3onc(-c4ccc(Cl)cc4)c3C(=O)OC)cc2)CC1,1
3,-0.4895662236167414,1.2526883862052656,4,1.0,7.0,6.0,J031_0109,CCn1c(SCC(=O)Nc2cc(C)ccc2C)nnc1-c1ccc2c(c1)OCCCO2,1
3,-0.4928421297761973,1.3052025253081625,4,1.0,7.0,6.0,F892_0500,COc1cccc(C(=O)Nc2cc(-c3noc(C4CC4)n3)sc2C)c1OC,1
3,-0.4928688799158514,1.30105550545351,4,1.0,7.0,6.0,Z1651730192,COc1ccc(C(=O)Nc2ccnn2-c2ccc(C)nn2)cc1OC1CCCC1,1
3,-0.4928696484953758,1.2996769468986518,4,1.0,7.0,6.0,G595_0936,CCOc1cc(CNC(=O)c2cnc3sc4c(n3c2=O)CCCCC4)ccc1OC,1
3,-0.4856284380536867,1.2282712372719224,4,1.0,7.0,6.0,Z1481021487,Cn1ncnc1COc1ccc(S(=O)(=O)NC2CCCc3occc32)cc1,1
3,-0.4928699589397805,1.3063407675762972,4,1.0,7.0,6.0,D715_1913,COc1ccc(CN2CC(=O)C(c3nc(-c4ccccc4)cs3)=C2N)cc1OC,1
3,-0.4928696484953758,1.2906166565948565,4,1.0,7.0,6.0,G595_0262,CCOc1cc(CNC(=O)c2cnc3sc4c(n3c2=O)CCCC4)ccc1OC,1
2,-0.4253032318825013,1.3861036259898476,3,2.0,4.0,5.0,Z2766468044,CCc1nnc(C[C@@H]2CC[C@H](NC(=O)c3c[nH]cc3C)C2)o1,2
2,-0.3963134456768585,1.4850958504527645,3,2.0,4.0,5.0,AN_329_43336760,OCCC1CN(C(=S)Nc2ccccc2)CCN1Cc1ccncc1,2
2,-0.3960881451275549,1.4802519064739723,3,2.0,4.0,5.0,Z1522244452,CCc1nc2ccc(C(=O)N[C@H]3CC[C@@H](CO)CC3)cc2nc1CC,2
2,-0.4385716152497497,1.4465775922634083,3,2.0,5.0,5.0,Z2417577685,O=C(NCc1cccnc1Oc1cccc(F)c1)C1CNCCO1,2
2,-0.394234812082997,1.4587336270361315,3,2.0,4.0,5.0,Z1828141247,O=C(c1cccc(NCc2cc(F)cc(F)c2)n1)N1CCCC1CO,2
2,-0.4442014818726522,1.409595673687766,3,2.0,4.0,5.0,AK_918_13947116,O=C(Nc1ccc(S(=O)(=O)NC2CCCCC2)cc1)c1ccc(Br)o1,2
2,-0.3963034330022941,1.5635796788372909,3,2.0,4.0,5.0,Z1426197207,OCCC1(NCc2cccc3cccnc23)CCOCC1,2
2,-0.4347630104231368,1.380633808274382,3,2.0,5.0,5.0,Z433503000,O=C(NCc1nnc2n1CCCCC2)Nc1cccc(OC(F)F)c1,2
2,-0.3942313980921501,1.452983832067888,3,2.0,5.0,5.0,Z2994312539,O=C(NC(CO)C1CCC1)c1nc(-c2ccccc2)ns1,2
2,-0.4545307504301574,1.4552944896763955,3,2.0,4.0,5.0,Z1375791050,CS(=O)(=O)NCc1ccc(C(=O)NC2CCCc3ccccc32)o1,2
2,-0.3906552082084898,1.4153340337535636,3,2.0,4.0,5.0,Z1549773615,CC(NC(=O)C1CCn2ccnc2C1)C(O)Cc1ccccc1,2
2,-0.3899031338787307,1.4798135293723949,3,2.0,5.0,5.0,Z1579660644,CCC1(O)CCC(NC(=O)c2cccc(-n3ccnc3SC)c2)CC1,2
2,-0.3950445705933839,1.402708114572771,3,2.0,5.0,5.0,Z1139206688,OCCN1CCC(CNc2ncnc3ccccc23)CC1,2
2,-0.3891354668154329,1.450548076885135,3,2.0,5.0,5.0,Z1763994401,CC1CN(C(=O)NCc2ccccc2-n2ccnc2)CCN1CC(C)(C)O,2
2,-0.3828510435399185,1.4462883228414725,3,2.0,4.0,5.0,Z340521870,COCCN1CC(C(=O)Nc2ccc3[nH]ncc3c2)CC1=O,2
1,-0.4511817744457324,2.0418138432172825,2,1.0,4.0,5.0,Z74306056,C#CCOC(=O)CN1C(=O)NC(CC)(c2ccccc2)C1=O,3
1,-0.4592896973905289,2.038558680740494,2,1.0,4.0,5.0,AK_968_11988120,CC(C)CC(=O)Nc1sc2c(c1C(=O)OC(C)C)CCCC2,3
1,-0.4689296791528278,1.9294275360194648,2,1.0,4.0,5.0,Z804588834,COC(=O)CC(NC(=O)C1CCOCC1)c1cccc(Br)c1,3
1,-0.4678480538243248,1.922764218106394,2,1.0,4.0,5.0,Z1930262809,CCC(NC1CCN(c2ccccc2Cl)C1=O)C(=O)OC,3
1,-0.4753726206391213,1.9897032557893224,2,1.0,4.0,5.0,Z1020828400,Cc1oc(C(=O)O)cc1S(=O)(=O)N(C)CC1CC1,3
1,-0.4687732093799353,1.9076636109848573,2,1.0,4.0,5.0,Z1210217695,COC(=O)C1CC1C(=O)NC(c1ncccc1C)C(C)C,3
1,-0.4776380002160899,1.997140675779536,2,1.0,4.0,5.0,Z1868185053,COCC1CCCN(S(=O)(=O)c2ccc(C(=O)O)cc2F)C1,3
1,-0.4685945168272816,2.077640991813741,2,1.0,4.0,5.0,Z1580129139,COC(=O)C(C)(C)C1CCCN(C(C(N)=O)c2ccccc2)C1,3
1,-0.4776389708708061,1.9594311917782048,2,1.0,4.0,5.0,C430_0040,COCCCN1C(=O)c2ccc(C(=O)O)cc2C1=O,3
1,-0.4454668724078112,1.8696436748746,2,1.0,4.0,5.0,Z2226040426,COCCC1(NC(=O)c2nc(C)oc2C)CCC1,3
1,-0.4799246806160814,1.983443403215692,2,1.0,4.0,5.0,Z1444333457,CC(C)c1cc(C(=O)N(CC(=O)O)C2CC2)n(C)n1,3
1,-0.479712136683477,1.9659389254036663,2,1.0,4.0,5.0,Z1455356691,CCc1noc(CC)c1CC(=O)N1CCC[C@@H]1C(=O)O,3
1,-0.479924686193043,2.0102264629068327,2,1.0,4.0,5.0,Z1762661636,CS(=O)(=O)N1CCC(N(CC(=O)O)C(=O)c2ccc(F)c(Cl)c2)CC1,3
1,-0.4811814920355937,1.9909119964864463,2,1.0,4.0,5.0,Z1444692262,O=C(O)CCN(C(=O)c1sccc1Br)C1CCOCC1,3
1,-0.479719684835079,1.9459220730203748,2,1.0,4.0,5.0,Z1444501407,CC(C(=O)O)N(C(=O)c1ccc(S(C)(=O)=O)cc1)C1CC1,3
2,-0.3423159753558174,1.6311731391950233,3,1.0,3.0,3.0,Z1544001359,Cn1cc(C(=O)NC2(c3ccc(F)cc3F)CCC2)cn1,4
2,-0.340063163699913,1.6205008139771646,3,1.0,3.0,3.0,Z228135238,Cc1ccsc1CN(C)C(=O)C1CC(=O)Nc2ccccc21,4
2,-0.3451026033485286,1.6619297917245608,3,1.0,3.0,3.0,Z982369862,CC(C)n1ncc(C(=O)NC2CCc3ccccc32)c1C(F)(F)F,4
2,-0.3472100236037522,1.6476137963036164,3,1.0,3.0,3.0,Z1757114138,CCN1CCN(C(=O)c2cccc(C)c2F)CC1c1ncc[nH]1,4
2,-0.3413655089852513,1.6811457994501904,3,1.0,3.0,3.0,Z3409369409,CN1CCc2c(NS(=O)(=O)c3ccccc3Cl)cccc2C1=O,4
2,-0.3320758539421516,1.6182891102180847,3,1.0,3.0,3.0,Z1574678082,O=C(Cc1c(F)cccc1Cl)N1CCCCC1c1nc[nH]n1,4
2,-0.3338937428299628,1.6094031826607658,3,1.0,3.0,3.0,Z2968044109,O=C(NCc1cccc(F)c1)N1CCCS(=O)(=O)CC1c1ccccc1,4
2,-0.3290221252322566,1.638243699031795,3,1.0,3.0,3.0,Z136992286,CC(=O)Nc1cccc(C(=O)N2CCN(C)CC2c2ccccc2)c1,4
2,-0.3350033765395785,1.6055470329041144,3,1.0,3.0,3.0,Z2639155480,Cc1n[nH]c(CC(=O)N2CC(C)CCC2c2ccccc2)n1,4
2,-0.3496016770863113,1.6487555793536686,3,1.0,3.0,3.0,AE_641_14413077,O=C1C(Cl)=C(Nc2ccc(Cl)cc2)C(=O)N1c1ccc(Cl)cc1Cl,4
2,-0.3385848546764604,1.5984299486997309,3,1.0,3.0,3.0,Z1090338844,O=C(Nc1cc(Cl)ccc1C(=O)N1CCCCC1)c1cccnc1,4
2,-0.3496028043995783,1.616470848271744,3,1.0,3.0,3.0,AF_399_13428506,Cc1ccc(NC2=C(Cl)C(=O)N(c3ccccc3)C2=O)cc1,4
2,-0.333063448012001,1.6916672397215329,3,1.0,3.0,3.0,Z2963411472,CC(C)CC1CN(C)CCN1C(=O)c1cccc2[nH]ncc12,4
2,-0.3495904571546904,1.6771375805566504,3,1.0,3.0,3.0,AE_641_40790460,Cc1cccc(N2C(=O)C(Cl)=C(Nc3cccc(C(F)(F)F)c3)C2=O)c1C,4
2,-0.3294892478756542,1.606306738500025,3,1.0,3.0,3.0,Z1175238459,CN(C(=O)c1cn[nH]c1)C1CCN(c2ccccc2Cl)C1=O,4
2,-0.4679918205773574,1.4754688108196383,3,1.0,5.0,5.0,5701_2400,CCOC(=O)c1ccc(N2CN(Cc3ccco3)CNC2=S)cc1,5
2,-0.4693124854471832,1.4736488588833618,3,1.0,5.0,5.0,Z2382234352,Cc1occc1CNC[C@@H]1CCCO[C@H]1c1ccnn1C,5
2,-0.4693124854471831,1.501587637827635,3,1.0,5.0,5.0,Z2381485312,Cc1nn(C)c(C)c1[C@H]1OCC[C@@H]1CNCc1ccoc1C,5
2,-0.4718718575772914,1.4983854750124668,3,1.0,5.0,5.0,Z1192604447,CN(C)C(=O)C1(CNC(=O)c2csc(-c3ccoc3)n2)CCCC1,5
2,-0.4654165985712722,1.508195721863377,3,1.0,5.0,5.0,Y501_8068,COC(=O)c1cccc(NC(=O)Cn2nc(C(F)(F)F)cc2C2CC2)c1,5
2,-0.4723386275758961,1.4643828076841787,3,1.0,5.0,5.0,Z1373733460,Cc1nc(C2(NC(=O)CCc3ccoc3)CCC2)no1,5
2,-0.4674669578253582,1.5178723663346947,3,1.0,5.0,5.0,Z534017948,CC(NC(=O)N(Cc1ccco1)C1CC1)c1nncn1C,5
2,-0.4775495565329119,1.4735993401731415,3,1.0,5.0,5.0,Z1444022963,CCOC1CCCN(C(=O)c2ccc(-n3ncc(C(=O)O)c3C)cc2)C1,5
